country,life-exp,latest-gdp
Aruba,76.353,33984.7906198041
Africa Eastern and Southern,65.146290855385,1673.84113878039
Afghanistan,66.035,413.757894705303
Africa Western and Central,58.8557215483276,1284.15444092323
Angola,64.617,2122.08368991872
Albania,79.602,10011.6279856667
Andorra,84.041,49303.6733899464
Arab World,72.4446783578531,7521.15330929761
United Arab Emirates,82.909,49377.5643384379
Argentina,77.395,13858.2039802008
Armenia,77.4658536585366,8500.60522486719
American Samoa,72.852,18017.4589383973
Antigua and Barbuda,77.598,23725.7903725506
Australia,83.0512195121951,64407.484256932
Austria,81.5414634146342,56833.1960472053
Azerbaijan,74.429,7283.83562954872
Burundi,63.651,153.930217854023
Belgium,82.3975609756098,55954.6106261018
Benin,60.774,1485.38018980894
Burkina Faso,61.092,987.321378101867
Bangladesh,74.672,2593.41607390407
Bulgaria,75.7073170731707,17412.4115085691
Bahrain,81.284,30048.2177718844
"Bahamas, The",74.552,39455.4466548546
Bosnia and Herzegovina,77.85,8957.37294188215
Belarus,74.1837804878049,8316.64776291533
Belize,73.566,8429.67959707387
Bermuda,82.309,138934.958846463
Bolivia,68.581,4001.21133990795
Brazil,75.848,10280.3148624429
Barbados,76.178,25365.7949424181
Brunei Darussalam,75.327,33417.8357740437
Bhutan,72.975,3839.4093039286
Botswana,69.163,7695.2420641819
Central African Republic,57.408,516.170424537757
Canada,81.6465853658537,54282.6176051733
Central Europe and the Baltics,77.8967836493153,24543.3040551654
Switzerland,84.0560975609756,103669.872008144
Channel Islands,81.1,74589.1381155014
Chile,81.167,16709.8893972307
China,77.953,13303.1481543868
Cote d'Ivoire,61.944,2709.89511641252
Cameroon,63.7,1762.3683508844
"Congo, Dem. Rep.",61.895,647.435704836002
"Congo, Rep.",65.772,2482.24894743495
Colombia,77.725,7913.98801464547
Comoros,66.777,1784.11546860293
Cabo Verde,76.059,5272.85253011419
Costa Rica,80.799,18587.1532203614
Caribbean small states,73.1716450013098,20173.9564746676
Cuba,78.085,9605.26125067263
Curacao,76.8,21061.741639092
Cayman Islands,80.358,97749.5078960846
Cyprus,81.648,38654.16796875
Czechia,79.8780487804878,31706.6234229743
Germany,80.5414634146342,55800.2194549412
Djibouti,65.987,3496.47111876763
Dominica,71.132,10405.2787777582
Denmark,81.8536585365854,71851.7562131368
Dominican Republic,73.72,10875.6618443092
Algeria,76.261,5631.17999109851
East Asia & Pacific (excluding high income),75.8806830895266,10396.8255168912
Early-demographic dividend,71.7962449795855,4529.82686738144
East Asia & Pacific,76.6595183258032,13349.0833109152
Europe & Central Asia (excluding high income),74.7987152767476,9668.56270854153
Europe & Central Asia,78.3870183177038,31392.581963732
Ecuador,77.392,6874.705739766
"Egypt, Arab Rep.",71.633,3338.47371395895
Euro area,82.1920076156423,46724.355622795
Eritrea,68.624,688.68165957684
Spain,83.8829268292683,35297.0094995565
Estonia,78.490243902439,31170.0915091887
Ethiopia,67.315,1011.07332413462
European Union,81.4114503796875,43145.1566930223
Fragile and conflict affected situations,63.3732812629951,1690.97291408665
Finland,81.6853658536585,53188.6186245158
Fiji,67.316,6288.39867264416
France,82.9292682926829,46150.4876861593
Faroe Islands,83.1439024390244,71774.3522353393
"Micronesia, Fed. Sts.",67.198,4166.00476748564
Gabon,68.337,8218.76307061848
United Kingdom,81.2380975609756,52636.7865943853
Georgia,74.496,9193.66366361489
Ghana,65.498,2405.79466378083
Guinea,60.74,1717.02318120779
"Gambia, The",65.86,908.525674150965
Guinea-Bissau,64.085,962.983627901892
Equatorial Guinea,63.707,6745.40013244916
Greece,81.5365853658537,24752.1068401681
Grenada,75.205,11871.6117006031
Greenland,71.549756097561,58498.9743142433
Guatemala,72.602,6150.02597767851
Guam,77.209,41833.1517132825
Guyana,70.18,29883.6341152001
High income,80.1500151183354,50443.9276011317
"Hong Kong SAR, China",85.2473170731707,54107.034521746
Honduras,72.884,3426.43483328923
Heavily indebted poor countries (HIPC),64.7159054177481,1272.36066941335
Croatia,78.4731707317073,23931.4528382746
Haiti,64.936,2142.62330526788
Hungary,76.7707317073171,23310.7512733957
IBRD only,74.5209699459191,8253.92125275536
IDA & IBRD total,72.0008209186498,6351.48106277471
IDA total,65.4535223135408,1486.64710905859
IDA blend,62.4621643327349,1565.83627113068
Indonesia,71.146,4925.43048751861
IDA only,67.0538318903115,1444.42895490433
Isle of Man,80.999,88328.548125887
India,72.003,2696.66389984463
Ireland,82.8609756097561,107316.337306921
"Iran, Islamic Rep.",77.654,4771.40029026226
Iraq,72.324,6073.61032342708
Iceland,82.6073170731707,82703.8579937471
Israel,83.1951219512195,54176.6844383302
Italy,83.7,40226.0472416173
Jamaica,71.479,7019.74634780454
Jordan,77.814,4618.09592498567
Japan,84.0412195121951,32475.8924992191
Kazakhstan,74.402,14005.3487362345
Kenya,63.646,2206.1349785176
Kyrgyz Republic,72.2487804878049,2419.26553574523
Cambodia,70.668,2627.8796974226
Kiribati,66.473,2288.63458265531
St. Kitts and Nevis,72.145,22771.4168922033
"Korea, Rep.",83.4292682926829,33121.3712885508
Kuwait,83.1878048780488,32213.8622292316
Latin America & Caribbean (excluding high income),75.4986013301866,10344.66889924
Lao PDR,68.964,2123.97909411797
Lebanon,77.817,3477.72489842684
Liberia,62.163,846.277368387389
Libya,69.339,6318.40314031017
St. Lucia,72.697,14181.6303351598
Latin America & Caribbean,75.6435293327332,11044.6796556507
Least developed countries: UN classification,66.5161002597788,1325.30935386629
Low income,64.5178957936853,746.934788844338
Liechtenstein,84.8414634146342,207973.617746758
Sri Lanka,77.483,4515.56787322732
Lower middle income,69.5963746571515,2517.63261211924
Low & middle income,71.9740048771462,5974.80452228262
Lesotho,57.375,971.814620468788
Late-demographic dividend,77.130120543495,12843.3344406811
Lithuania,76.9878048780488,29386.2878350187
Luxembourg,83.3585365853659,137516.587324367
Latvia,75.6780487804878,23367.5986788961
"Macao SAR, China",83.1804878048781,73046.8890267079
St. Martin (French part),80.224,21668.3740927942
Morocco,75.313,3993.38745117188
Monaco,86.372,256580.515122745
Moldova,71.198,7617.51613089815
Madagascar,63.632,544.997302693127
Maldives,81.041,13215.5353637008
"Middle East, North Africa, Afghanistan & Pakistan",72.0839412410497,6180.85878446824
Mexico,75.069,14157.9445835849
Marshall Islands,66.945,7466.65186507409
Middle income,72.7431938727471,6524.2573581605
North Macedonia,75.3160975609756,9310.02790015256
Mali,60.439,1086.1762176779
Malta,83.5073170731707,42347.3073860173
Myanmar,66.889,1359.25961394135
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",71.2758849884583,2903.59793979158
Montenegro,77.5878048780488,12935.4522712126
Mongolia,72.1224390243902,6691.48209834228
Northern Mariana Islands,78.808,23785.754590043
Mozambique,63.611,647.28579950207
Mauritania,68.484,2082.78374423714
Mauritius,73.4121951219512,11871.733679438
Malawi,67.353,508.371273531708
Malaysia,76.657,11867.2586435443
North America,78.7328213732191,82406.4788664869
Namibia,67.385,4413.1274418646
New Caledonia,78.766,33516.363085906
Niger,61.183,722.748650326257
Nigeria,54.462,806.945695055244
Nicaragua,74.947,2847.53966339498
Netherlands,81.9146341463415,68218.7261019406
Norway,83.1121951219512,86809.7246897431
Nepal,70.354,1447.31004458428
Nauru,62.109,13421.8330584638
New Zealand,83.0048780487805,48747.0136853042
OECD members,80.1615573011433,48454.6975400673
Oman,80.031,20248.4168124608
Other small states,73.5646945094343,15867.6733515992
Pakistan,67.649,1484.74985864775
Panama,79.594,19102.8521936399
Peru,77.74,8452.37167047598
Philippines,69.833,3984.8315387656
Palau,69.269,15899.4246065324
Papua New Guinea,66.134,3076.48786186584
Poland,78.5073170731707,25022.6716445953
Pre-demographic dividend,62.1636298902791,1290.20000126508
Puerto Rico (US),81.69,39285.0174585856
Portugal,82.2804878048781,28844.4979246799
Paraguay,73.844,6416.09709002917
West Bank and Gaza,65.17,2592.30591217647
Pacific island small states,69.2745949035856,4399.41105391407
Post-demographic dividend,80.8228346378274,55865.7865373976
French Polynesia,84.07,22774.1418988734
Qatar,82.368,76275.9076782833
Romania,76.6073170731707,20072.4079244042
Russian Federation,73.2546341463415,14889.0185546875
Rwanda,67.785,999.654561402699
South Asia,72.3247648783903,2691.64556264089
Saudi Arabia,78.732,35057.2252306969
Sudan,66.331,989.312866210938
Senegal,68.683,1743.98888384359
Singapore,82.8951219512195,90674.066632628
Solomon Islands,70.528,2149.37957267304
Sierra Leone,61.786,873.388575182318
El Salvador,72.099,5579.65969165029
San Marino,85.706,54264.570495898
Somalia,58.816,636.983477589273
Serbia,76.2209756097561,13523.7246826854
Sub-Saharan Africa (excluding high income),62.0654798813283,1506.22853698028
South Sudan,57.617,1080.14718624765
Sub-Saharan Africa,62.6029134885664,1516.35448013206
Small states,72.9007197557042,15291.69576976
Sao Tome and Principe,69.718,3244.82899741459
Suriname,73.631,7430.70219176443
Slovak Republic,78.0170731707317,26147.9028430133
Slovenia,81.9780487804878,34089.3527652778
Sweden,83.309756097561,57723.2345031532
Eswatini,64.123,3936.10969242371
Sint Maarten (Dutch part),76.371,40027.9175992113
Seychelles,74.9585365853659,17858.8226383978
Syrian Arab Republic,72.12,847.372723418531
Turks and Caicos Islands,78.008,37506.7798431288
Chad,55.069,1016.08880662712
East Asia & Pacific (IDA & IBRD countries),75.9085643603807,10513.9755660123
Europe & Central Asia (IDA & IBRD countries),74.7300564025194,13257.56545104
Togo,62.739,1043.14092889765
Thailand,76.412,7345.13569000377
Tajikistan,71.79,1341.20229027672
Turkmenistan,70.073,8571.60702949432
Latin America & the Caribbean (IDA & IBRD countries),75.5699258379688,10784.3171528207
Timor-Leste,67.689,1343.14886031844
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",71.3194560888195,2905.83377209255
Tonga,72.895,4863.76384632192
South Asia (IDA & IBRD),72.3247648783903,2691.64556264089
Sub-Saharan Africa (IDA & IBRD countries),62.6029134885664,1516.35448013206
Trinidad and Tobago,73.49,19314.7163432664
Tunisia,76.508,4350.3717971875
Turkiye,77.156,15473.2872636856
Tuvalu,67.105,6344.7750188689
Tanzania,66.995,1185.74548339844
Uganda,68.252,1072.71369837695
Ukraine,73.422,5389.47314453125
Upper middle income,76.1953051028563,10961.8184459945
Uruguay,78.138,23906.5133029408
United States,78.3853658536585,85809.9003846356
Uzbekistan,72.388,3161.70010632875
St. Vincent and the Grenadines,71.23,11501.2265187188
"Venezuela, RB",72.514,15943.6127197163
Virgin Islands (U.S.),80.519512195122,44320.909185774
Viet Nam,74.588,4717.29028732449
Vanuatu,71.477,3542.81071592874
World,73.3297162833404,13673.0039578901
Samoa,71.698,4898.77140817676
Kosovo,78.033,7299.43498083118
"Yemen, Rep.",69.295,433.174015068148
South Africa,66.139,6253.37158194543
Zambia,66.349,1235.08466482514
Zimbabwe,62.775,2656.40937654332
